alpha,beta,p,distance_to_best,mean,stddev
0.30000000000000004,5.0,0.8999999999999999,455.34014138964903,8149.138313591544,115.13651823478803
0.30000000000000004,6.0,0.0,269.6899479122658,7866.335090864641,49.81077703568896
0.30000000000000004,6.0,0.1,705.5812954054109,8324.299275561163,92.34219309278731
0.30000000000000004,6.0,0.2,612.9477015250741,8270.511892437771,100.73866048381241
0.30000000000000004,6.0,0.30000000000000004,583.2187164738225,8250.713270610811,81.57633324251798
0.30000000000000004,6.0,0.4,497.58452807033336,8202.87920164882,119.54153835309116
0.30000000000000004,6.0,0.5,528.5564353488526,8202.879621260587,79.34323510935654
0.30000000000000004,6.0,0.6,542.4903896060878,8136.063133708084,44.64956053675456
0.30000000000000004,6.0,0.7,455.4626351894558,8112.543379576999,95.94184089346878
0.30000000000000004,6.0,0.7999999999999999,386.8106628738715,8049.040913336151,75.73005504799879
0.30000000000000004,6.0,0.8999999999999999,390.7966021017328,8031.355129352803,62.44655648093767
0.30000000000000004,7.0,0.0,284.9623744123419,7869.573485626564,33.85702879926331
0.30000000000000004,7.0,0.1,568.7957967073198,8184.423971892657,69.55328493988101
0.30000000000000004,7.0,0.2,570.1574142806303,8239.924125329708,76.46148482810278
0.30000000000000004,7.0,0.30000000000000004,476.4919581024069,8095.145810205227,102.17777802325018
0.30000000000000004,7.0,0.4,535.5121934479648,8154.022101137617,89.98197278951102
0.30000000000000004,7.0,0.5,491.10304958007873,8117.970067754491,51.959432981117104
0.30000000000000004,7.0,0.6,497.87626127371095,8146.766293514905,79.59257676030444
0.30000000000000004,7.0,0.7,542.5756538804435,8119.261609242316,49.26519340170758
0.30000000000000004,7.0,0.7999999999999999,437.2181489393806,8069.044236870956,54.69031620851388
0.30000000000000004,7.0,0.8999999999999999,431.5009547708969,8058.291828897681,52.705194740412814
0.30000000000000004,8.0,0.0,78.65668657089645,7705.979964719408,56.71958275617757
0.30000000000000004,8.0,0.1,456.68756921598106,8160.999848456434,116.8707677098706
0.30000000000000004,8.0,0.2,472.9706668607978,8092.969343200403,60.72275109465522
0.30000000000000004,8.0,0.30000000000000004,440.8390874579627,8093.183836868683,103.29199652361217
0.30000000000000004,8.0,0.4,418.1881338933217,8061.934388404107,65.34659203303121
0.30000000000000004,8.0,0.5,385.2868461988037,8077.120728031884,119.6387318879847
0.30000000000000004,8.0,0.6,372.6330085868267,8021.189541918859,86.6909775402408
0.30000000000000004,8.0,0.7,473.7757938496907,8118.945520039063,62.38695985908641
0.30000000000000004,8.0,0.7999999999999999,174.3573066244844,7944.919536716096,143.95443420044083
0.30000000000000004,8.0,0.8999999999999999,382.8896778111821,8012.183106629551,60.20889369255497
0.30000000000000004,9.0,0.0,163.72316578594473,7739.1784399354065,34.13745776705491
0.30000000000000004,9.0,0.1,505.04162960616213,8117.433173998979,76.27764660339668
0.30000000000000004,9.0,0.2,414.08849857794394,8003.577183238376,49.92060700879864
0.30000000000000004,9.0,0.30000000000000004,457.1995947343221,8071.137266999599,49.00254023677033
0.30000000000000004,9.0,0.4,417.1685783877201,7983.779250584797,32.99142163594733
0.30000000000000004,9.0,0.5,386.6886975348507,8023.445508144357,80.6321221049818
